packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,2445,8,99.7,30759.522
1,true,FTP-Patator,1,0,0,0,91,1,98.9,3748.879
2,false,BENIGN,0,1,0,0,5851,17,99.7,62237.766
3,false,BENIGN,0,1,0,0,765,1,99.9,3772.474
4,false,BENIGN,0,1,0,0,557,2,99.6,7919.347
5,false,BENIGN,0,1,0,0,555,0,100.0,64.745
6,true,FTP-Patator,1,0,0,0,69,1,98.6,4521.148
7,false,BENIGN,0,1,0,0,689,3,99.6,10588.946
8,true,FTP-Patator,1,0,0,0,73,2,97.3,7143.385
9,false,BENIGN,0,1,0,0,535,1,99.8,4370.515
10,false,BENIGN,0,1,0,0,685,2,99.7,7866.327
11,false,BENIGN,0,1,0,0,11547,54,99.5,196141.891
12,true,FTP-Patator,1,0,0,0,83,1,98.8,3996.550
13,false,BENIGN,0,1,0,0,5831,25,99.6,100454.140
14,true,FTP-Patator,1,0,0,0,85,1,98.8,4062.064
15,false,BENIGN,0,1,0,0,821,2,99.8,8375.191
16,true,FTP-Patator,1,0,0,0,73,1,98.6,3853.681
17,false,BENIGN,0,1,0,0,1367,7,99.5,25598.146
18,false,BENIGN,0,1,0,0,685,3,99.6,11352.926
19,false,BENIGN,0,1,0,0,1477,2,99.9,7748.878
20,true,FTP-Patator,1,0,0,0,75,1,98.7,3363.215
21,false,BENIGN,0,1,0,0,503,1,99.8,4173.744
22,true,FTP-Patator,1,0,0,0,73,1,98.6,3895.878
23,false,BENIGN,0,1,0,0,685,2,99.7,7294.131
24,false,BENIGN,0,1,0,0,753,1,99.9,3949.285
25,false,BENIGN,0,1,0,0,2681,3,99.9,12647.618
26,false,BENIGN,0,1,0,0,681,2,99.7,6649.315
27,true,FTP-Patator,1,0,0,0,91,2,97.8,7845.142
28,true,FTP-Patator,1,0,0,0,75,2,97.3,12106.374
29,false,BENIGN,0,1,0,0,1395,2,99.9,9091.997
30,true,FTP-Patator,1,0,0,0,81,2,97.5,8349.463
31,false,BENIGN,0,1,0,0,593,2,99.7,13099.113
32,true,FTP-Patator,1,0,0,0,87,1,98.9,3529.002
33,true,FTP-Patator,1,0,0,0,89,2,97.8,9165.522
34,true,FTP-Patator,1,0,0,0,89,2,97.8,7978.775
35,false,BENIGN,0,1,0,0,1603,4,99.8,14684.540
36,true,FTP-Patator,1,0,0,0,73,1,98.6,2967.849
37,false,BENIGN,0,1,0,0,2725,8,99.7,34173.276
38,true,FTP-Patator,1,0,0,0,73,2,97.3,6362.717
39,true,FTP-Patator,1,0,0,0,91,1,98.9,3571.663
40,true,FTP-Patator,1,0,0,0,73,2,97.3,6050.170
41,false,BENIGN,0,1,0,0,929,1,99.9,4012.107
42,false,BENIGN,0,1,0,0,839,3,99.6,12170.495
43,true,FTP-Patator,1,0,0,0,79,1,98.7,3776.041
