packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,true,FTP-Patator,1,0,0,0,75,2,97.3,10593.152
1,true,FTP-Patator,1,0,0,0,73,1,98.6,4732.730
2,true,FTP-Patator,1,0,0,0,95,1,98.9,5608.641
3,true,FTP-Patator,1,0,0,0,95,2,97.9,10563.254
4,false,BENIGN,0,1,0,0,465,1,99.8,4750.459
5,false,BENIGN,0,1,0,0,845,2,99.8,10619.285
6,true,FTP-Patator,1,0,0,0,93,2,97.8,10878.332
7,false,BENIGN,0,1,0,0,2389,2,99.9,10973.071
8,false,BENIGN,0,1,0,0,463,1,99.8,4630.843
9,false,BENIGN,0,1,0,0,861,3,99.7,18416.024
10,true,FTP-Patator,1,0,0,0,73,1,98.6,5223.194
11,false,BENIGN,0,1,0,0,559,1,99.8,5022.711
12,true,FTP-Patator,1,0,0,0,73,1,98.6,4459.196
13,true,FTP-Patator,1,0,0,0,73,2,97.3,9983.146
14,false,BENIGN,0,1,0,0,825,2,99.8,10990.010
15,false,BENIGN,0,1,0,0,385,4,99.0,21176.206
16,true,FTP-Patator,1,0,0,0,73,1,98.6,5371.020
17,false,BENIGN,0,1,0,0,857,3,99.6,18159.907
18,false,BENIGN,0,1,0,0,485,1,99.8,6164.877
19,false,BENIGN,0,1,0,0,553,3,99.5,18805.783
20,false,BENIGN,0,1,0,0,435,1,99.8,5052.688
21,true,FTP-Patator,1,0,0,0,89,2,97.8,12306.744
22,true,FTP-Patator,1,0,0,0,73,2,97.3,10375.230
23,true,FTP-Patator,1,0,0,0,95,1,98.9,4969.718
24,true,FTP-Patator,1,0,0,0,73,1,98.6,4488.394
25,true,FTP-Patator,1,0,0,0,73,1,98.6,4663.204
26,true,FTP-Patator,1,0,0,0,73,1,98.6,4486.684
27,false,BENIGN,0,1,0,0,865,2,99.8,11050.864
28,true,FTP-Patator,1,0,0,0,91,1,98.9,5292.985
29,false,BENIGN,0,1,0,0,523,2,99.6,12355.688
30,true,FTP-Patator,1,0,0,0,79,1,98.7,6257.966
31,false,BENIGN,0,1,0,0,491,0,100.0,77.116
32,true,FTP-Patator,1,0,0,0,79,2,97.5,12335.261
33,true,FTP-Patator,1,0,0,0,87,1,98.9,6136.533
34,true,FTP-Patator,1,0,0,0,93,1,98.9,6065.349
35,false,BENIGN,0,1,0,0,557,2,99.6,12473.970
36,false,BENIGN,0,1,0,0,851,4,99.5,22966.590
37,true,FTP-Patator,1,0,0,0,73,1,98.6,4896.325
38,true,FTP-Patator,1,0,0,0,91,2,97.8,12261.874
39,true,FTP-Patator,1,0,0,0,99,2,98.0,11958.399
40,false,BENIGN,0,1,0,0,849,3,99.6,17412.236
41,true,FTP-Patator,1,0,0,0,83,1,98.8,6210.507
42,false,BENIGN,0,1,0,0,517,2,99.6,12287.530
43,false,BENIGN,0,1,0,0,835,2,99.8,12489.816
44,false,BENIGN,0,1,0,0,383,1,99.7,4955.539
45,true,FTP-Patator,1,0,0,0,89,1,98.9,6194.787
46,false,BENIGN,0,1,0,0,549,2,99.6,9586.186
47,false,BENIGN,0,1,0,0,875,2,99.8,10909.876
48,true,FTP-Patator,1,0,0,0,73,1,98.6,4554.340
49,false,BENIGN,0,1,0,0,537,2,99.6,9840.979
50,false,BENIGN,0,1,0,0,385,4,99.0,21830.503
51,true,FTP-Patator,1,0,0,0,91,2,97.8,12086.020
52,true,FTP-Patator,1,0,0,0,65,1,98.5,6286.034
53,false,BENIGN,0,1,0,0,527,1,99.8,6097.264
54,true,FTP-Patator,1,0,0,0,83,1,98.8,6179.760
55,false,FTP-Patator,0,0,0,1,3,0,100.0,2.022
56,false,BENIGN,0,1,0,0,465,2,99.6,11357.390
57,false,BENIGN,0,1,0,0,831,2,99.8,12197.106
58,true,FTP-Patator,1,0,0,0,95,2,97.9,11962.105
59,false,BENIGN,0,1,0,0,821,2,99.8,12714.402
60,false,BENIGN,0,1,0,0,361,0,100.0,68.190
61,false,BENIGN,0,1,0,0,521,1,99.8,5708.224
62,false,BENIGN,0,1,0,0,163,0,100.0,46.912
63,false,BENIGN,0,1,0,0,451,1,99.8,6235.306
64,false,BENIGN,0,1,0,0,1901,2,99.9,10437.572
65,false,BENIGN,0,1,0,0,539,1,99.8,6188.777
66,true,FTP-Patator,1,0,0,0,85,2,97.6,12413.518
67,false,BENIGN,0,1,0,0,549,1,99.8,6208.840
68,false,BENIGN,0,1,0,0,865,2,99.8,12079.117
69,false,BENIGN,0,1,0,0,859,2,99.8,12304.934
70,true,FTP-Patator,1,0,0,0,87,1,98.9,6396.368
71,true,FTP-Patator,1,0,0,0,75,2,97.3,12064.720
72,false,BENIGN,0,1,0,0,471,3,99.4,16542.454
73,false,BENIGN,0,1,0,0,853,2,99.8,12193.762
74,true,FTP-Patator,1,0,0,0,73,1,98.6,5143.426
75,false,BENIGN,0,1,0,0,863,3,99.7,18091.604
76,false,BENIGN,0,1,0,0,847,2,99.8,12387.907
77,false,BENIGN,0,1,0,0,865,2,99.8,12553.101
78,true,FTP-Patator,1,0,0,0,87,1,98.9,6082.224
79,true,FTP-Patator,1,0,0,0,73,1,98.6,5215.250
80,true,FTP-Patator,1,0,0,0,73,2,97.3,10347.991
81,true,FTP-Patator,1,0,0,0,79,1,98.7,7082.602
82,false,BENIGN,0,1,0,0,955,1,99.9,6977.167
83,false,BENIGN,0,1,0,0,431,0,100.0,63.053
84,false,BENIGN,0,1,0,0,397,0,100.0,52.191
85,true,FTP-Patator,1,0,0,0,83,2,97.6,13065.339
86,true,FTP-Patator,1,0,0,0,73,1,98.6,5333.708
87,true,FTP-Patator,1,0,0,0,51,1,98.0,6990.120
88,true,FTP-Patator,1,0,0,0,79,1,98.7,6286.166
89,false,BENIGN,0,1,0,0,823,3,99.6,20600.384
90,true,FTP-Patator,1,0,0,0,95,1,98.9,6715.984
91,true,FTP-Patator,1,0,0,0,73,2,97.3,11049.571
92,false,BENIGN,0,1,0,0,873,4,99.5,20605.415
93,false,BENIGN,0,1,0,0,861,2,99.8,10744.989
94,false,BENIGN,0,1,0,0,1423,1,99.9,4751.872
95,false,BENIGN,0,1,0,0,873,1,99.9,5838.455
