packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,569,1,99.8,5310.213
1,true,FTP-Patator,1,0,0,0,85,1,98.8,5148.379
2,true,FTP-Patator,1,0,0,0,73,2,97.3,8994.449
3,true,FTP-Patator,1,0,0,0,73,1,98.6,4523.410
4,true,FTP-Patator,1,0,0,0,73,1,98.6,5447.978
5,false,BENIGN,0,1,0,0,483,1,99.8,5735.668
6,false,BENIGN,0,1,0,0,859,2,99.8,17491.749
7,false,BENIGN,0,1,0,0,849,2,99.8,19156.119
8,false,BENIGN,0,1,0,0,527,1,99.8,9195.880
9,true,FTP-Patator,1,0,0,0,81,1,98.8,8904.695
10,false,BENIGN,0,1,0,0,411,1,99.8,7392.783
11,false,BENIGN,0,1,0,0,833,2,99.8,17818.552
12,false,BENIGN,0,1,0,0,473,2,99.6,15401.984
13,false,BENIGN,0,1,0,0,405,0,100.0,112.495
14,true,FTP-Patator,1,0,0,0,93,1,98.9,8638.385
15,false,BENIGN,0,1,0,0,1243,4,99.7,33840.772
16,false,BENIGN,0,1,0,0,463,1,99.8,7699.280
17,false,BENIGN,0,1,0,0,529,1,99.8,9340.688
18,false,BENIGN,0,1,0,0,221,3,98.6,25549.313
19,true,FTP-Patator,1,0,0,0,97,2,97.9,17931.104
20,false,BENIGN,0,1,0,0,857,2,99.8,18275.561
21,true,FTP-Patator,1,0,0,0,73,1,98.6,8094.118
22,true,FTP-Patator,1,0,0,0,99,1,99.0,9222.898
23,true,FTP-Patator,1,0,0,0,19,1,94.7,7177.413
24,true,FTP-Patator,1,0,0,0,83,2,97.6,19275.673
25,true,FTP-Patator,1,0,0,0,73,1,98.6,7808.812
26,true,FTP-Patator,1,0,0,0,83,2,97.6,18959.844
27,true,FTP-Patator,1,0,0,0,79,2,97.5,18242.967
28,true,FTP-Patator,1,0,0,0,43,1,97.7,9118.194
29,true,FTP-Patator,1,0,0,0,99,1,99.0,9079.515
30,false,BENIGN,0,1,0,0,875,1,99.9,9485.790
31,true,FTP-Patator,1,0,0,0,81,1,98.8,8926.817
32,false,BENIGN,0,1,0,0,865,2,99.8,17670.355
33,true,FTP-Patator,1,0,0,0,75,1,98.7,8917.483
34,false,BENIGN,0,1,0,0,887,3,99.7,25409.234
35,false,BENIGN,0,1,0,0,855,2,99.8,17613.464
36,false,BENIGN,0,1,0,0,823,3,99.6,26615.349
37,true,FTP-Patator,1,0,0,0,73,1,98.6,7539.467
38,false,BENIGN,0,1,0,0,383,0,100.0,106.499
39,false,BENIGN,0,1,0,0,843,2,99.8,18660.886
40,false,BENIGN,0,1,0,0,539,1,99.8,8931.040
41,false,BENIGN,0,1,0,0,165,0,100.0,42.351
42,false,BENIGN,0,1,0,0,403,0,100.0,100.589
43,false,BENIGN,0,1,0,0,645,2,99.7,18089.749
44,false,BENIGN,0,1,0,0,359,2,99.4,17751.222
45,true,FTP-Patator,1,0,0,0,73,1,98.6,7469.238
46,true,FTP-Patator,1,0,0,0,81,2,97.5,10438.575
47,false,BENIGN,0,1,0,0,285,2,99.3,8662.031
48,false,BENIGN,0,1,0,0,513,1,99.8,6377.220
49,true,FTP-Patator,1,0,0,0,93,2,97.8,11080.041
50,true,FTP-Patator,1,0,0,0,85,1,98.8,8019.751
51,true,FTP-Patator,1,0,0,0,79,2,97.5,19440.980
52,true,FTP-Patator,1,0,0,0,79,1,98.7,9388.393
53,true,FTP-Patator,1,0,0,0,85,2,97.6,17720.536
54,true,FTP-Patator,1,0,0,0,73,1,98.6,7790.794
55,true,FTP-Patator,1,0,0,0,73,1,98.6,7547.700
56,false,FTP-Patator,0,0,0,1,3,0,100.0,15.654
57,true,FTP-Patator,1,0,0,0,73,1,98.6,7438.628
58,true,FTP-Patator,1,0,0,0,87,2,97.7,17825.933
59,true,FTP-Patator,1,0,0,0,91,2,97.8,18856.612
60,true,FTP-Patator,1,0,0,0,73,1,98.6,7776.321
61,false,BENIGN,0,1,0,0,825,2,99.8,18942.405
62,true,FTP-Patator,1,0,0,0,73,2,97.3,14681.597
63,true,FTP-Patator,1,0,0,0,73,1,98.6,7284.263
64,false,BENIGN,0,1,0,0,471,3,99.4,24379.736
65,false,BENIGN,0,1,0,0,435,1,99.8,8694.514
66,false,BENIGN,0,1,0,0,519,1,99.8,9110.004
67,true,FTP-Patator,1,0,0,0,73,2,97.3,15130.648
68,true,FTP-Patator,1,0,0,0,91,2,97.8,17773.135
69,false,BENIGN,0,1,0,0,339,0,100.0,43.596
70,true,FTP-Patator,1,0,0,0,51,2,96.1,10456.868
71,true,FTP-Patator,1,0,0,0,91,1,98.9,5064.340
72,false,BENIGN,0,1,0,0,557,3,99.5,16838.160
73,true,FTP-Patator,1,0,0,0,79,1,98.7,5644.238
74,false,BENIGN,0,1,0,0,831,2,99.8,18503.200
75,true,FTP-Patator,1,0,0,0,73,1,98.6,8265.210
76,false,BENIGN,0,1,0,0,471,2,99.6,18280.276
77,false,BENIGN,0,1,0,0,553,3,99.5,26661.238
78,false,BENIGN,0,1,0,0,883,2,99.8,18687.394
79,false,BENIGN,0,1,0,0,855,3,99.6,26802.694
80,true,FTP-Patator,1,0,0,0,89,1,98.9,5329.590
81,true,FTP-Patator,1,0,0,0,61,1,98.4,5171.894
82,true,FTP-Patator,1,0,0,0,79,1,98.7,4782.671
83,false,BENIGN,0,1,0,0,853,2,99.8,10318.071
84,false,BENIGN,0,1,0,0,465,1,99.8,4212.831
85,true,FTP-Patator,1,0,0,0,79,1,98.7,5552.174
86,true,FTP-Patator,1,0,0,0,75,1,98.7,6713.360
87,false,BENIGN,0,1,0,0,1423,1,99.9,8916.237
88,false,BENIGN,0,1,0,0,1901,2,99.9,15798.885
89,false,BENIGN,0,1,0,0,465,0,100.0,99.877
90,true,FTP-Patator,1,0,0,0,85,1,98.8,9975.396
91,true,FTP-Patator,1,0,0,0,91,1,98.9,9197.404
92,true,FTP-Patator,1,0,0,0,87,2,97.7,10992.641
93,false,FTP-Patator,0,0,0,1,0,0,100.0,0.007
94,false,BENIGN,0,1,0,0,219,0,100.0,24.641
95,true,FTP-Patator,1,0,0,0,89,2,97.8,11312.305
96,false,BENIGN,0,1,0,0,559,1,99.8,5237.769
97,true,FTP-Patator,1,0,0,0,85,1,98.8,5361.933
98,false,BENIGN,0,1,0,0,859,2,99.8,15046.747
99,true,FTP-Patator,1,0,0,0,89,1,98.9,9634.264
100,true,FTP-Patator,1,0,0,0,93,2,97.8,19592.864
101,true,FTP-Patator,1,0,0,0,73,1,98.6,7285.524
102,false,BENIGN,0,1,0,0,873,3,99.7,27376.673
103,false,BENIGN,0,1,0,0,867,2,99.8,18009.873
104,false,BENIGN,0,1,0,0,861,3,99.7,27538.883
105,false,BENIGN,0,1,0,0,503,1,99.8,9273.799
106,false,BENIGN,0,1,0,0,821,2,99.8,18757.162
107,true,FTP-Patator,1,0,0,0,85,2,97.6,18631.210
108,false,BENIGN,0,1,0,0,447,2,99.6,16239.261
109,false,BENIGN,0,1,0,0,367,0,100.0,123.045
110,true,FTP-Patator,1,0,0,0,81,1,98.8,9167.671
111,true,FTP-Patator,1,0,0,0,89,1,98.9,8744.042
112,false,BENIGN,0,1,0,0,531,1,99.8,7604.054
113,false,BENIGN,0,1,0,0,539,1,99.8,9761.557
114,false,BENIGN,0,1,0,0,841,2,99.8,17794.844
115,false,BENIGN,0,1,0,0,491,0,100.0,130.270
116,true,FTP-Patator,1,0,0,0,97,1,99.0,9075.919
117,false,BENIGN,0,1,0,0,399,0,100.0,125.713
118,false,BENIGN,0,1,0,0,853,2,99.8,18647.994
119,false,BENIGN,0,1,0,0,835,2,99.8,19853.692
