packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,61,1,98.4,9091.755
1,false,BENIGN,0,1,0,0,61,0,100.0,28.039
2,false,FTP-Patator,0,0,0,1,61,1,98.4,8940.791
3,false,BENIGN,0,1,0,0,61,0,100.0,16.057
4,false,BENIGN,0,1,0,0,61,0,100.0,16.098
5,true,FTP-Patator,1,0,0,0,61,1,98.4,7181.725
6,true,FTP-Patator,1,0,0,0,61,1,98.4,7223.420
7,false,BENIGN,0,1,0,0,61,0,100.0,15.681
8,false,BENIGN,0,1,0,0,61,0,100.0,15.772
9,true,FTP-Patator,1,0,0,0,61,1,98.4,7124.896
10,false,BENIGN,0,1,0,0,61,0,100.0,13.705
11,false,FTP-Patator,0,0,0,1,63,0,100.0,16.909
12,false,BENIGN,0,1,0,0,71,0,100.0,18.404
13,false,BENIGN,0,1,0,0,69,1,98.6,7454.227
14,false,BENIGN,0,1,0,0,61,0,100.0,14.324
15,true,FTP-Patator,1,0,0,0,61,1,98.4,7673.897
16,false,BENIGN,0,1,0,0,61,0,100.0,15.672
17,false,BENIGN,0,1,0,0,61,0,100.0,16.259
18,false,FTP-Patator,0,0,0,1,67,0,100.0,18.143
19,false,FTP-Patator,0,0,0,1,61,0,100.0,16.259
20,true,FTP-Patator,1,0,0,0,61,1,98.4,7939.707
21,false,BENIGN,0,1,0,0,61,0,100.0,16.139
22,false,FTP-Patator,0,0,0,1,61,0,100.0,29.370
23,false,BENIGN,0,1,0,0,61,0,100.0,93.387
24,false,FTP-Patator,0,0,0,1,61,0,100.0,28.010
25,false,FTP-Patator,0,0,0,1,61,0,100.0,24.719
26,false,BENIGN,0,1,0,0,61,0,100.0,23.375
27,false,BENIGN,0,1,0,0,61,0,100.0,76.170
28,false,BENIGN,0,1,0,0,61,0,100.0,20.389
29,true,FTP-Patator,1,0,0,0,61,1,98.4,9257.068
30,false,BENIGN,0,1,0,0,61,0,100.0,35.830
31,false,BENIGN,0,1,0,0,61,1,98.4,8942.852
32,false,BENIGN,0,1,0,0,61,0,100.0,16.127
33,false,BENIGN,0,1,0,0,61,0,100.0,16.095
34,true,FTP-Patator,1,0,0,0,61,1,98.4,7627.487
35,false,BENIGN,0,1,0,0,61,0,100.0,13.529
36,false,BENIGN,0,1,0,0,61,0,100.0,14.449
37,false,BENIGN,0,1,0,0,61,0,100.0,15.482
38,true,FTP-Patator,1,0,0,0,61,1,98.4,7756.256
39,true,FTP-Patator,1,0,0,0,61,1,98.4,7510.496
40,true,FTP-Patator,1,0,0,0,61,1,98.4,7450.278
41,false,BENIGN,0,1,0,0,61,1,98.4,9123.876
42,false,FTP-Patator,0,0,0,1,63,0,100.0,15.383
43,true,FTP-Patator,1,0,0,0,61,1,98.4,7064.132
44,false,BENIGN,0,1,0,0,59,0,100.0,37.489
45,false,BENIGN,0,1,0,0,61,0,100.0,13.682
46,false,BENIGN,0,1,0,0,65,0,100.0,78.548
47,true,FTP-Patator,1,0,0,0,61,2,96.7,18453.381
48,true,FTP-Patator,1,0,0,0,61,1,98.4,7054.194
49,false,FTP-Patator,0,0,0,1,61,0,100.0,15.656
50,false,BENIGN,0,1,0,0,61,0,100.0,15.535
51,false,FTP-Patator,0,0,0,1,63,1,98.4,7668.515
52,false,BENIGN,0,1,0,0,61,0,100.0,53.083
53,false,BENIGN,0,1,0,0,71,0,100.0,45.889
54,false,FTP-Patator,0,0,0,1,67,1,98.5,9155.509
55,true,FTP-Patator,1,0,0,0,61,1,98.4,7519.092
56,false,FTP-Patator,0,0,0,1,61,0,100.0,25.413
57,false,BENIGN,0,1,0,0,61,1,98.4,7571.394
58,false,BENIGN,0,1,0,0,71,0,100.0,20.456
59,false,BENIGN,0,1,0,0,61,0,100.0,15.084
60,true,FTP-Patator,1,0,0,0,61,2,96.7,17428.791
61,false,FTP-Patator,0,0,0,1,61,0,100.0,15.627
62,false,BENIGN,0,1,0,0,61,0,100.0,15.652
63,false,FTP-Patator,0,0,0,1,61,0,100.0,38.876
64,false,BENIGN,0,1,0,0,61,2,96.7,16433.484
65,true,FTP-Patator,1,0,0,0,61,2,96.7,16488.302
66,false,FTP-Patator,0,0,0,1,61,0,100.0,16.127
67,false,BENIGN,0,1,0,0,61,0,100.0,15.061
68,false,BENIGN,0,1,0,0,61,0,100.0,13.433
69,false,BENIGN,0,1,0,0,61,0,100.0,51.284
70,true,FTP-Patator,1,0,0,0,61,1,98.4,9430.606
71,false,BENIGN,0,1,0,0,61,0,100.0,15.258
72,false,BENIGN,0,1,0,0,61,0,100.0,16.303
73,false,BENIGN,0,1,0,0,63,0,100.0,17.730
74,false,FTP-Patator,0,0,0,1,61,0,100.0,127.726
75,true,FTP-Patator,1,0,0,0,61,1,98.4,9576.714
76,true,FTP-Patator,1,0,0,0,61,1,98.4,6958.918
77,false,FTP-Patator,0,0,0,1,61,0,100.0,15.341
78,false,FTP-Patator,0,0,0,1,61,0,100.0,44.786
79,false,BENIGN,0,1,0,0,61,2,96.7,17335.168
80,false,BENIGN,0,1,0,0,61,0,100.0,103.796
81,false,BENIGN,0,1,0,0,61,0,100.0,25.346
82,false,BENIGN,0,1,0,0,61,0,100.0,43.636
83,true,FTP-Patator,1,0,0,0,59,1,98.3,8966.813
84,false,BENIGN,0,1,0,0,59,0,100.0,15.271
85,false,FTP-Patator,0,0,0,1,61,0,100.0,24.424
