packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,DoS-GoldenEye,0,1,0,0,31,2,93.5,16350.507
1,true,FTP-Patator,1,0,0,0,344,2,99.4,8661.097
2,true,Brute-Force,0,0,1,0,6788,18,99.7,86414.413
3,true,FTP-Patator,1,0,0,0,464,1,99.8,4064.896
4,false,SSH-Patator,0,1,0,0,1184,3,99.7,15937.784
5,false,DoS-GoldenEye,0,1,0,0,60,0,100.0,3.350
6,false,BENIGN,0,1,0,0,4280,9,99.8,34274.163
7,false,BENIGN,0,1,0,0,3596,9,99.7,49105.693
8,false,BENIGN,0,1,0,0,5912,15,99.7,72320.345
9,true,Brute-Force,0,0,1,0,6788,17,99.7,82364.800
10,false,XSS,0,1,0,0,4268,12,99.7,46669.998
11,false,BENIGN,0,1,0,0,5108,11,99.8,45474.365
12,true,XSS,0,0,1,0,6632,20,99.7,83366.383
13,false,BENIGN,0,1,0,0,5204,11,99.8,48502.683
14,false,BENIGN,0,1,0,0,3296,10,99.7,39793.745
15,true,Brute-Force,0,0,1,0,6788,20,99.7,105992.685
16,false,SSH-Patator,0,1,0,0,2216,2,99.9,8915.047
17,true,Infiltration,0,0,1,0,836,5,99.4,27341.542
18,false,SSH-Patator,0,1,0,0,2204,2,99.9,15638.149
19,true,Brute-Force,0,0,1,0,6788,19,99.7,90162.663
20,false,BENIGN,0,1,0,0,3320,6,99.8,19152.503
21,true,XSS,0,0,1,0,6632,19,99.7,86696.284
22,false,DoS-GoldenEye,0,1,0,0,37,0,100.0,2.750
23,true,FTP-Patator,1,0,0,0,164,2,98.8,6238.315
24,true,Brute-Force,0,0,1,0,6788,19,99.7,96706.302
25,false,BENIGN,0,1,0,0,4040,10,99.8,43860.153
26,true,Infiltration,0,0,1,0,12992,53,99.6,185611.856
27,true,Infiltration,0,0,1,0,11084,40,99.6,114994.290
28,true,Brute-Force,0,0,1,0,6788,20,99.7,86120.789
29,false,SSH-Patator,0,1,0,0,1172,6,99.5,21950.429
