packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,true,FTP-Patator,1,0,0,0,476,1,99.8,3958.337
1,true,Infiltration,0,0,1,0,836,5,99.4,22988.169
2,false,BENIGN,0,1,0,0,6512,16,99.8,77316.446
3,false,DoS-GoldenEye,0,1,0,0,52,0,100.0,3.997
4,false,BENIGN,0,1,0,0,8960,26,99.7,116140.476
5,false,BENIGN,0,1,0,0,3428,9,99.7,41734.763
6,true,XSS,0,0,1,0,6632,21,99.7,108552.507
7,false,BENIGN,0,1,0,0,4040,10,99.8,43788.564
8,true,Brute-Force,0,0,1,0,6788,18,99.7,87163.160
9,false,DoS-GoldenEye,0,1,0,0,16,0,100.0,1.724
10,false,BENIGN,0,1,0,0,4016,9,99.8,38755.229
11,true,Infiltration,0,0,1,0,392,2,99.5,10405.596
12,true,DoS-Hulk,0,0,1,0,3224,13,99.6,58546.218
13,false,BENIGN,0,1,0,0,4040,9,99.8,39151.194
14,true,FTP-Patator,1,0,0,0,416,1,99.8,4619.311
15,false,BENIGN,0,1,0,0,4448,10,99.8,41610.596
16,false,BENIGN,0,1,0,0,5024,9,99.8,35052.202
17,false,SSH-Patator,0,1,0,0,1208,1,99.9,4553.344
18,false,BENIGN,0,1,0,0,51740,109,99.8,454379.108
19,true,XSS,0,0,1,0,6632,19,99.7,87826.718
20,false,DoS-GoldenEye,0,1,0,0,37,0,100.0,2.908
21,true,XSS,0,0,1,0,6632,19,99.7,88775.570
22,false,BENIGN,0,1,0,0,8684,31,99.6,131032.986
23,true,BENIGN,0,0,1,0,3164,8,99.7,35349.166
24,false,BENIGN,0,1,0,0,4508,8,99.8,32811.271
25,false,SSH-Patator,0,1,0,0,1976,7,99.6,40373.064
26,false,BENIGN,0,1,0,0,5156,9,99.8,32219.236
27,false,BENIGN,0,1,0,0,8948,15,99.8,65150.095
28,false,BENIGN,0,1,0,0,3380,6,99.8,20843.491
29,false,BENIGN,0,1,0,0,3296,7,99.8,25781.262
30,true,FTP-Patator,1,0,0,0,476,3,99.4,13610.475
31,false,BENIGN,0,1,0,0,4280,9,99.8,36414.572
32,true,Infiltration,0,0,1,0,1784,7,99.6,28179.258
33,false,BENIGN,0,1,0,0,7568,24,99.7,121608.201
34,true,DoS-Hulk,0,0,1,0,3896,17,99.6,90336.876
35,true,Brute-Force,0,0,1,0,6788,19,99.7,84226.244
36,true,Brute-Force,0,0,1,0,6788,20,99.7,116639.312
37,false,BENIGN,0,1,0,0,5672,9,99.8,36563.393
38,true,DoS-Hulk,0,0,1,0,3464,14,99.6,65668.436
39,false,BENIGN,0,1,0,0,16052,36,99.8,170131.280
40,false,BENIGN,0,1,0,0,6404,13,99.8,53487.580
41,false,SSH-Patator,0,1,0,0,1196,2,99.8,13310.196
