packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,true,FTP-Patator,1,0,0,0,476,1,99.8,3968.150
1,true,Infiltration,1,0,0,0,836,5,99.4,28317.410
2,false,BENIGN,0,1,0,0,6512,16,99.8,79962.274
3,false,DoS-GoldenEye,0,0,0,1,52,0,100.0,2.826
4,false,BENIGN,0,1,0,0,8960,26,99.7,125556.934
5,false,BENIGN,0,1,0,0,3428,9,99.7,43006.232
6,true,XSS,1,0,0,0,6632,21,99.7,95437.129
7,false,BENIGN,0,1,0,0,4040,10,99.8,43459.266
8,true,Brute-Force,1,0,0,0,6788,18,99.7,82339.811
9,false,DoS-GoldenEye,0,0,0,1,16,0,100.0,1.759
10,false,BENIGN,0,1,0,0,4016,9,99.8,37767.177
11,true,Infiltration,1,0,0,0,392,2,99.5,10606.883
12,true,DoS-Hulk,1,0,0,0,3224,13,99.6,56702.958
13,false,BENIGN,0,1,0,0,4040,9,99.8,41673.878
14,true,FTP-Patator,1,0,0,0,416,1,99.8,3968.502
15,false,BENIGN,0,1,0,0,4448,10,99.8,41233.486
16,false,BENIGN,0,1,0,0,5024,9,99.8,35658.599
17,false,SSH-Patator,0,0,0,1,1208,1,99.9,4360.386
18,false,BENIGN,0,1,0,0,51740,109,99.8,381012.031
19,true,XSS,1,0,0,0,6632,19,99.7,75073.873
20,false,DoS-GoldenEye,0,0,0,1,37,0,100.0,2.849
21,true,XSS,1,0,0,0,6632,19,99.7,88459.138
22,false,BENIGN,0,1,0,0,8684,31,99.6,155173.061
23,true,BENIGN,0,0,1,0,3164,8,99.7,31049.159
24,false,BENIGN,0,1,0,0,4508,8,99.8,30893.903
25,false,SSH-Patator,0,0,0,1,1976,7,99.6,39092.053
26,false,BENIGN,0,1,0,0,5156,9,99.8,32156.513
27,false,BENIGN,0,1,0,0,8948,15,99.8,74671.065
28,false,BENIGN,0,1,0,0,3380,6,99.8,19808.439
29,false,BENIGN,0,1,0,0,3296,7,99.8,23724.799
30,true,FTP-Patator,1,0,0,0,476,3,99.4,13573.749
31,false,BENIGN,0,1,0,0,4280,9,99.8,35374.827
32,true,Infiltration,1,0,0,0,1784,7,99.6,26803.168
33,false,BENIGN,0,1,0,0,7568,24,99.7,151261.043
34,true,DoS-Hulk,1,0,0,0,3896,17,99.6,77031.440
35,true,Brute-Force,1,0,0,0,6788,19,99.7,67532.678
36,true,Brute-Force,1,0,0,0,6788,20,99.7,94783.583
37,false,BENIGN,0,1,0,0,5672,9,99.8,36499.061
38,true,DoS-Hulk,1,0,0,0,3464,14,99.6,63486.786
39,false,BENIGN,0,1,0,0,16052,36,99.8,171233.276
40,false,BENIGN,0,1,0,0,6404,13,99.8,46545.155
41,false,SSH-Patator,0,0,0,1,1196,2,99.8,12666.531
