packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,2445,8,99.7,35233.879
1,true,FTP-Patator,1,0,0,0,91,1,98.9,4250.327
2,false,BENIGN,0,1,0,0,5851,17,99.7,70225.109
3,false,BENIGN,0,1,0,0,765,1,99.9,4759.075
4,false,BENIGN,0,1,0,0,557,2,99.6,8534.752
5,false,BENIGN,0,1,0,0,555,0,100.0,64.115
6,true,FTP-Patator,1,0,0,0,69,1,98.6,4708.802
7,false,BENIGN,0,1,0,0,689,3,99.6,12094.595
8,true,FTP-Patator,1,0,0,0,73,2,97.3,6983.972
9,false,BENIGN,0,1,0,0,535,1,99.8,3901.754
10,false,BENIGN,0,1,0,0,685,2,99.7,7668.768
11,false,BENIGN,0,1,0,0,11547,54,99.5,216571.117
12,true,FTP-Patator,1,0,0,0,83,1,98.8,4672.907
13,false,BENIGN,0,1,0,0,5831,25,99.6,110187.897
14,true,FTP-Patator,1,0,0,0,85,1,98.8,4543.183
15,false,BENIGN,0,1,0,0,821,2,99.8,9361.388
16,true,FTP-Patator,1,0,0,0,73,1,98.6,3603.137
17,false,BENIGN,0,1,0,0,1367,7,99.5,30132.163
18,false,BENIGN,0,1,0,0,685,3,99.6,11594.920
19,false,BENIGN,0,1,0,0,1477,2,99.9,8080.305
20,true,FTP-Patator,1,0,0,0,75,1,98.7,4614.056
21,false,BENIGN,0,1,0,0,503,1,99.8,3960.528
22,true,FTP-Patator,1,0,0,0,73,1,98.6,3355.667
23,false,BENIGN,0,1,0,0,685,2,99.7,7900.578
24,false,BENIGN,0,1,0,0,753,1,99.9,4557.919
25,false,BENIGN,0,1,0,0,2681,3,99.9,13410.057
26,false,BENIGN,0,1,0,0,681,2,99.7,7928.163
27,true,FTP-Patator,1,0,0,0,91,2,97.8,8888.309
28,true,FTP-Patator,1,0,0,0,75,2,97.3,8200.404
29,false,BENIGN,0,1,0,0,1395,2,99.9,9364.345
30,true,FTP-Patator,1,0,0,0,81,2,97.5,7984.355
31,false,BENIGN,0,1,0,0,593,2,99.7,9113.240
32,true,FTP-Patator,1,0,0,0,87,1,98.9,4689.826
33,true,FTP-Patator,1,0,0,0,89,2,97.8,9132.266
34,true,FTP-Patator,1,0,0,0,89,2,97.8,22161.673
35,false,BENIGN,0,1,0,0,1603,4,99.8,15294.442
36,true,FTP-Patator,1,0,0,0,73,1,98.6,3408.111
37,false,BENIGN,0,1,0,0,2725,8,99.7,31513.653
38,true,FTP-Patator,1,0,0,0,73,2,97.3,6519.616
39,true,FTP-Patator,1,0,0,0,91,1,98.9,4039.515
40,true,FTP-Patator,1,0,0,0,73,2,97.3,6554.659
41,false,BENIGN,0,1,0,0,929,1,99.9,4331.347
42,false,BENIGN,0,1,0,0,839,3,99.6,11790.050
43,true,FTP-Patator,1,0,0,0,79,1,98.7,3876.220
44,true,FTP-Patator,1,0,0,0,79,1,98.7,4688.250
45,false,BENIGN,0,1,0,0,1539,3,99.8,11844.377
46,false,BENIGN,0,1,0,0,583,1,99.8,4484.347
47,false,BENIGN,0,1,0,0,631,4,99.4,17901.241
