packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,1784,2,99.9,9275.509
1,true,Brute-Force,1,0,0,0,1126,2,99.8,8244.076
2,false,BENIGN,0,1,0,0,668,0,100.0,74.527
3,true,Brute-Force,1,0,0,0,1126,2,99.8,8390.420
4,false,BENIGN,0,1,0,0,528,0,100.0,57.221
5,true,Brute-Force,1,0,0,0,1126,4,99.6,14894.529
6,false,BENIGN,0,1,0,0,660,3,99.5,11863.041
7,false,BENIGN,0,1,0,0,1508,2,99.9,7381.613
8,true,Brute-Force,1,0,0,0,1126,2,99.8,8091.954
9,false,BENIGN,0,1,0,0,1420,2,99.9,8080.156
10,false,BENIGN,0,1,0,0,544,0,100.0,57.310
11,false,Brute-Force,0,0,0,1,660,0,100.0,63.610
12,false,BENIGN,0,1,0,0,1352,2,99.9,7883.549
13,true,Brute-Force,1,0,0,0,1126,3,99.7,12857.844
14,true,Brute-Force,1,0,0,0,1126,3,99.7,12069.944
15,true,Brute-Force,1,0,0,0,1126,2,99.8,10543.906
16,false,BENIGN,0,1,0,0,558,2,99.6,8221.353
17,false,BENIGN,0,1,0,0,698,2,99.7,7493.356
18,true,Brute-Force,1,0,0,0,1126,2,99.8,8620.464
19,true,Brute-Force,1,0,0,0,1126,2,99.8,8130.977
20,true,Brute-Force,1,0,0,0,1126,2,99.8,8255.689
21,true,Brute-Force,1,0,0,0,1126,2,99.8,8522.262
22,true,Brute-Force,1,0,0,0,1126,2,99.8,10081.410
23,false,BENIGN,0,1,0,0,1358,1,99.9,3772.121
24,false,BENIGN,0,1,0,0,558,1,99.8,4767.094
25,true,Brute-Force,1,0,0,0,1126,3,99.7,12136.221
26,false,BENIGN,0,1,0,0,852,2,99.8,8428.692
27,true,Brute-Force,1,0,0,0,1126,2,99.8,8312.257
28,false,BENIGN,0,1,0,0,558,0,100.0,61.850
29,false,BENIGN,0,1,0,0,854,1,99.9,3415.563
30,true,Brute-Force,1,0,0,0,1126,2,99.8,7334.058
31,true,Brute-Force,1,0,0,0,1126,2,99.8,8931.929
32,false,BENIGN,0,1,0,0,7588,7,99.9,29883.487
33,false,BENIGN,0,1,0,0,668,0,100.0,80.292
34,false,BENIGN,0,1,0,0,612,1,99.8,4860.212
35,true,Brute-Force,1,0,0,0,1126,2,99.8,9348.170
36,false,BENIGN,0,1,0,0,618,0,100.0,89.875
37,true,Brute-Force,1,0,0,0,1126,2,99.8,11040.296
38,false,BENIGN,0,1,0,0,5830,10,99.8,44596.827
39,true,Brute-Force,1,0,0,0,1126,2,99.8,7911.250
40,false,BENIGN,0,1,0,0,668,0,100.0,76.304
41,false,BENIGN,0,1,0,0,664,0,100.0,79.080
42,true,Brute-Force,1,0,0,0,1126,2,99.8,7515.856
43,false,BENIGN,0,1,0,0,572,0,100.0,57.649
44,false,BENIGN,0,1,0,0,718,2,99.7,8370.568
45,false,Brute-Force,0,0,0,1,732,0,100.0,89.922
46,true,Brute-Force,1,0,0,0,1126,2,99.8,8019.712
47,false,BENIGN,0,1,0,0,444,0,100.0,46.736
48,true,Brute-Force,1,0,0,0,1126,2,99.8,8017.181
49,false,BENIGN,0,1,0,0,802,1,99.9,4618.846
50,false,BENIGN,0,1,0,0,834,1,99.9,3738.802
51,true,Brute-Force,1,0,0,0,1126,2,99.8,9104.554
52,true,Brute-Force,1,0,0,0,1126,2,99.8,8278.997
53,false,Brute-Force,0,0,0,1,646,0,100.0,77.024
54,false,BENIGN,0,1,0,0,646,0,100.0,75.382
55,false,BENIGN,0,1,0,0,416,0,100.0,44.222
56,true,Brute-Force,1,0,0,0,1126,2,99.8,8209.306
57,false,BENIGN,0,1,0,0,1456,0,100.0,164.881
58,true,Brute-Force,1,0,0,0,1126,2,99.8,7153.946
59,true,Brute-Force,1,0,0,0,1126,2,99.8,8407.110
60,false,BENIGN,0,1,0,0,524,0,100.0,56.923
61,true,Brute-Force,1,0,0,0,1126,2,99.8,8650.665
62,true,Brute-Force,1,0,0,0,1126,2,99.8,8988.573
63,true,Brute-Force,1,0,0,0,1126,2,99.8,8367.428
64,true,Brute-Force,1,0,0,0,1126,2,99.8,8379.301
65,false,BENIGN,0,1,0,0,816,1,99.9,3554.208
66,true,Brute-Force,1,0,0,0,1126,2,99.8,8437.807
67,true,Brute-Force,1,0,0,0,1126,3,99.7,15700.799
68,true,Brute-Force,1,0,0,0,1126,2,99.8,7520.508
69,true,Brute-Force,1,0,0,0,1126,2,99.8,8524.833
70,false,BENIGN,0,1,0,0,870,1,99.9,3846.915
71,true,Brute-Force,1,0,0,0,1126,2,99.8,8086.389
72,true,Brute-Force,1,0,0,0,1126,2,99.8,8370.249
73,true,Brute-Force,1,0,0,0,1126,2,99.8,8323.177
74,false,BENIGN,0,1,0,0,698,2,99.7,8238.572
75,true,Brute-Force,1,0,0,0,1126,2,99.8,8332.259
76,false,BENIGN,0,1,0,0,812,2,99.8,8484.921
77,true,Brute-Force,1,0,0,0,1126,2,99.8,8563.707
78,true,Brute-Force,1,0,0,0,1126,2,99.8,8240.257
79,true,Brute-Force,1,0,0,0,1126,2,99.8,11462.988
80,false,BENIGN,0,1,0,0,2228,4,99.8,16991.215
81,false,BENIGN,0,1,0,0,840,2,99.8,9851.361
82,false,BENIGN,0,1,0,0,1276,0,100.0,149.186
83,true,Brute-Force,1,0,0,0,1126,2,99.8,7894.903
84,true,Brute-Force,1,0,0,0,1126,2,99.8,7723.032
85,true,Brute-Force,1,0,0,0,1126,2,99.8,8117.035
86,false,BENIGN,0,1,0,0,1012,3,99.7,12547.421
87,false,BENIGN,0,1,0,0,788,2,99.7,7179.084
88,true,Brute-Force,1,0,0,0,1126,2,99.8,8462.864
89,false,BENIGN,0,1,0,0,664,0,100.0,81.532
90,false,BENIGN,0,1,0,0,450,1,99.8,4232.827
91,false,BENIGN,0,1,0,0,702,2,99.7,8153.510
92,false,BENIGN,0,1,0,0,668,1,99.9,3579.165
93,true,Brute-Force,1,0,0,0,1126,2,99.8,8341.762
94,true,Brute-Force,1,0,0,0,1126,2,99.8,8126.757
95,false,BENIGN,0,1,0,0,642,1,99.8,4708.001
96,true,Brute-Force,1,0,0,0,1126,3,99.7,10060.302
97,false,BENIGN,0,1,0,0,780,1,99.9,3855.057
98,false,BENIGN,0,1,0,0,664,0,100.0,73.614
99,true,Brute-Force,1,0,0,0,1126,2,99.8,8416.936
100,false,BENIGN,0,1,0,0,498,0,100.0,60.680
101,false,BENIGN,0,1,0,0,560,0,100.0,60.219
102,false,BENIGN,0,1,0,0,5810,5,99.9,22285.751
103,false,BENIGN,0,1,0,0,1168,1,99.9,3846.917
104,false,BENIGN,0,1,0,0,1174,0,100.0,141.253
105,true,Brute-Force,1,0,0,0,1126,4,99.6,15471.885
106,true,Brute-Force,1,0,0,0,1126,4,99.6,17346.781
107,true,Brute-Force,1,0,0,0,1126,2,99.8,8500.719
108,true,Brute-Force,1,0,0,0,1126,2,99.8,6923.074
109,false,BENIGN,0,1,0,0,744,0,100.0,84.554
110,false,BENIGN,0,1,0,0,682,1,99.9,3716.915
111,true,Brute-Force,1,0,0,0,1126,2,99.8,7125.043
112,true,Brute-Force,1,0,0,0,1126,2,99.8,8286.829
113,false,BENIGN,0,1,0,0,628,1,99.8,4585.969
114,true,Brute-Force,1,0,0,0,1126,2,99.8,8460.454
115,false,BENIGN,0,1,0,0,668,0,100.0,77.868
116,true,Brute-Force,1,0,0,0,1126,2,99.8,9109.315
117,false,BENIGN,0,1,0,0,668,0,100.0,77.199
118,true,Brute-Force,1,0,0,0,1126,2,99.8,8563.417
119,true,Brute-Force,1,0,0,0,1126,2,99.8,8192.084
120,false,BENIGN,0,1,0,0,670,0,100.0,83.410
121,false,BENIGN,0,1,0,0,2424,3,99.9,11201.495
122,false,Brute-Force,0,0,0,1,556,0,100.0,56.501
123,false,BENIGN,0,1,0,0,664,0,100.0,67.553
124,false,BENIGN,0,1,0,0,644,2,99.7,8539.859
125,false,BENIGN,0,1,0,0,870,3,99.7,11912.887
126,false,BENIGN,0,1,0,0,406,0,100.0,50.505
127,true,Brute-Force,1,0,0,0,1126,3,99.7,11864.015
128,false,BENIGN,0,1,0,0,812,1,99.9,4078.633
