packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,true,XSS,1,0,0,0,1660,6,99.6,25897.403
1,false,BENIGN,0,1,0,0,1564,2,99.9,13253.192
2,false,BENIGN,0,1,0,0,1285,2,99.8,10344.628
3,true,XSS,1,0,0,0,1660,7,99.6,28450.082
4,true,XSS,1,0,0,0,1660,6,99.6,26102.144
5,true,XSS,1,0,0,0,1660,7,99.6,33180.679
6,false,BENIGN,0,1,0,0,1525,1,99.9,6571.323
7,false,BENIGN,0,1,0,0,976,1,99.9,6767.317
8,false,BENIGN,0,1,0,0,1213,1,99.9,6371.506
9,true,XSS,1,0,0,0,1660,6,99.6,27220.250
10,false,BENIGN,0,1,0,0,2014,3,99.9,11969.372
11,false,XSS,0,0,0,1,985,1,99.9,4137.121
12,false,BENIGN,0,1,0,0,1924,2,99.9,9696.228
13,true,XSS,1,0,0,0,1660,6,99.6,27484.328
14,false,BENIGN,0,1,0,0,1774,3,99.8,17068.635
15,false,BENIGN,0,1,0,0,757,0,100.0,64.985
16,true,XSS,1,0,0,0,1660,6,99.6,28462.447
17,false,BENIGN,0,1,0,0,1696,2,99.9,9304.030
18,true,XSS,1,0,0,0,1660,6,99.6,23736.533
19,true,XSS,1,0,0,0,1660,6,99.6,24199.375
20,false,BENIGN,0,1,0,0,2974,7,99.8,32491.114
21,true,XSS,1,0,0,0,1660,6,99.6,25744.617
22,true,XSS,1,0,0,0,1660,7,99.6,32149.603
23,false,BENIGN,0,1,0,0,802,0,100.0,62.371
24,true,XSS,1,0,0,0,1660,6,99.6,25347.238
25,true,XSS,1,0,0,0,1660,6,99.6,25254.623
26,false,BENIGN,0,1,0,0,1012,1,99.9,2815.774
27,true,XSS,1,0,0,0,1660,6,99.6,25629.862
28,false,BENIGN,0,1,0,0,2014,3,99.9,13145.801
29,false,BENIGN,0,1,0,0,1939,0,100.0,13407.226
30,true,XSS,1,0,0,0,1660,6,99.6,26710.085
31,true,XSS,1,0,0,0,1660,6,99.6,27413.855
32,true,XSS,1,0,0,0,1660,6,99.6,30420.887
33,false,BENIGN,0,1,0,0,583,4,99.3,14730.258
