packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,true,XSS,1,0,0,0,1105,4,99.6,19092.161
1,false,BENIGN,0,1,0,0,1041,2,99.8,11670.428
2,false,BENIGN,0,1,0,0,855,2,99.8,9983.671
3,true,XSS,1,0,0,0,1105,4,99.6,19514.672
4,true,XSS,1,0,0,0,1105,4,99.6,20103.183
5,true,XSS,1,0,0,0,1105,5,99.5,26336.521
6,false,BENIGN,0,1,0,0,1015,1,99.9,6382.348
7,false,BENIGN,0,1,0,0,649,1,99.8,5097.468
8,false,BENIGN,0,1,0,0,807,1,99.9,5228.683
9,true,XSS,1,0,0,0,1105,4,99.6,19281.786
10,false,BENIGN,0,1,0,0,1341,1,99.9,6271.094
11,false,XSS,0,0,0,1,655,1,99.8,3939.503
12,false,BENIGN,0,1,0,0,1281,1,99.9,6447.580
13,true,XSS,1,0,0,0,1105,4,99.6,19799.214
14,false,BENIGN,0,1,0,0,1181,3,99.7,16179.684
15,false,BENIGN,0,1,0,0,503,0,100.0,61.929
16,true,XSS,1,0,0,0,1105,4,99.6,19828.702
17,false,BENIGN,0,1,0,0,1129,2,99.8,10064.420
18,true,XSS,1,0,0,0,1105,4,99.6,20580.399
19,true,XSS,1,0,0,0,1105,4,99.6,19406.829
20,false,BENIGN,0,1,0,0,1981,6,99.7,31773.914
21,true,XSS,1,0,0,0,1105,4,99.6,24822.646
22,true,XSS,1,0,0,0,1105,5,99.5,25536.459
23,false,BENIGN,0,1,0,0,533,0,100.0,61.952
24,true,XSS,1,0,0,0,1105,4,99.6,19002.132
25,true,XSS,1,0,0,0,1105,4,99.6,21014.137
26,false,BENIGN,0,1,0,0,673,0,100.0,76.186
27,true,XSS,1,0,0,0,1105,4,99.6,20114.009
28,false,BENIGN,0,1,0,0,1341,2,99.9,10666.542
29,false,BENIGN,0,1,0,0,1291,0,100.0,129.879
30,true,XSS,1,0,0,0,1105,4,99.6,19529.353
31,true,XSS,1,0,0,0,1105,4,99.6,19440.080
32,true,XSS,1,0,0,0,1105,4,99.6,18750.655
33,false,BENIGN,0,1,0,0,387,2,99.5,9875.643
34,true,XSS,1,0,0,0,1105,5,99.5,25009.949
35,false,BENIGN,0,1,0,0,839,1,99.9,3740.433
36,true,XSS,1,0,0,0,1105,4,99.6,19633.522
37,false,BENIGN,0,1,0,0,673,1,99.9,6154.449
38,false,XSS,0,0,0,1,663,0,100.0,75.494
39,false,BENIGN,0,1,0,0,673,1,99.9,6180.516
40,false,BENIGN,0,1,0,0,673,0,100.0,80.662
41,false,BENIGN,0,1,0,0,651,1,99.8,6114.844
42,true,XSS,1,0,0,0,1105,4,99.6,19175.742
43,true,XSS,1,0,0,0,1105,4,99.6,19319.127
44,true,XSS,1,0,0,0,1105,4,99.6,20165.373
45,false,BENIGN,0,1,0,0,1947,3,99.8,16712.891
46,true,XSS,1,0,0,0,1105,4,99.6,26277.710
47,false,BENIGN,0,1,0,0,1089,3,99.7,17338.714
48,true,XSS,1,0,0,0,1105,4,99.6,19690.823
49,false,BENIGN,0,1,0,0,845,2,99.8,10082.391
50,false,BENIGN,0,1,0,0,835,1,99.9,4001.824
51,true,XSS,1,0,0,0,1105,4,99.6,20317.909
52,true,XSS,1,0,0,0,1105,4,99.6,19425.216
53,false,BENIGN,0,1,0,0,565,1,99.8,5364.495
54,true,XSS,1,0,0,0,1105,4,99.6,20208.912
55,true,XSS,1,0,0,0,1105,4,99.6,18976.852
56,true,XSS,1,0,0,0,1105,4,99.6,17913.474
57,false,BENIGN,0,1,0,0,675,0,100.0,75.626
58,true,XSS,1,0,0,0,1105,5,99.5,26330.923
59,true,XSS,1,0,0,0,1105,4,99.6,20737.546
60,true,XSS,1,0,0,0,1105,4,99.6,19788.018
61,false,BENIGN,0,1,0,0,669,0,100.0,73.023
62,false,BENIGN,0,1,0,0,851,2,99.8,10164.793
63,false,BENIGN,0,1,0,0,765,2,99.7,11645.437
64,true,XSS,1,0,0,0,1105,4,99.6,26753.575
65,true,XSS,1,0,0,0,1105,4,99.6,21715.684
66,false,BENIGN,0,1,0,0,883,2,99.8,10078.162
67,false,BENIGN,0,1,0,0,1773,7,99.6,37186.249
68,false,XSS,0,0,0,1,761,1,99.9,3992.291
69,true,XSS,1,0,0,0,1105,4,99.6,21438.707
70,true,XSS,1,0,0,0,1105,4,99.6,20294.786
71,false,BENIGN,0,1,0,0,5835,10,99.8,50374.998
72,true,XSS,1,0,0,0,1105,4,99.6,20403.555
73,true,XSS,1,0,0,0,1105,4,99.6,21117.247
74,true,XSS,1,0,0,0,1105,4,99.6,20267.703
75,true,XSS,1,0,0,0,1105,4,99.6,22122.339
76,false,BENIGN,0,1,0,0,563,0,100.0,66.805
77,true,XSS,1,0,0,0,1105,4,99.6,19300.868
78,false,BENIGN,0,1,0,0,665,2,99.7,12187.895
79,true,XSS,1,0,0,0,1105,5,99.5,25935.510
80,false,BENIGN,0,1,0,0,673,1,99.9,8241.646
81,false,BENIGN,0,1,0,0,1461,3,99.8,16697.617
82,false,BENIGN,0,1,0,0,1425,2,99.9,10330.691
83,false,BENIGN,0,1,0,0,555,3,99.5,18659.535
84,false,BENIGN,0,1,0,0,617,1,99.8,4079.738
85,true,XSS,1,0,0,0,1105,4,99.6,19602.252
86,true,XSS,1,0,0,0,1105,5,99.5,26509.750
87,false,BENIGN,0,1,0,0,1277,0,100.0,143.409
88,false,BENIGN,0,1,0,0,5459,12,99.8,76082.293
89,true,XSS,1,0,0,0,1105,4,99.6,19171.073
90,true,XSS,1,0,0,0,1105,4,99.6,20742.247
91,false,BENIGN,0,1,0,0,673,0,100.0,66.713
92,true,XSS,1,0,0,0,1105,4,99.6,18974.322
93,true,XSS,1,0,0,0,1105,4,99.6,21294.834
94,false,BENIGN,0,1,0,0,707,2,99.7,12562.734
95,true,XSS,1,0,0,0,1105,4,99.6,20681.487
96,false,BENIGN,0,1,0,0,673,1,99.9,6314.338
97,true,XSS,1,0,0,0,1105,4,99.6,20137.177
98,false,BENIGN,0,1,0,0,519,1,99.8,6302.423
99,true,XSS,1,0,0,0,1105,4,99.6,18533.006
100,false,BENIGN,0,1,0,0,5791,12,99.8,64833.694
101,true,XSS,1,0,0,0,1091,4,99.6,20583.521
102,false,BENIGN,0,1,0,0,671,0,100.0,82.607
103,true,XSS,1,0,0,0,1105,6,99.5,30647.261
104,false,BENIGN,0,1,0,0,669,0,100.0,67.885
105,false,BENIGN,0,1,0,0,839,1,99.9,3858.061
106,true,XSS,1,0,0,0,1105,4,99.6,20309.236
107,false,BENIGN,0,1,0,0,1249,0,100.0,136.581
108,false,BENIGN,0,1,0,0,5815,14,99.8,79693.616
109,false,BENIGN,0,1,0,0,687,2,99.7,12271.525
110,false,BENIGN,0,1,0,0,841,1,99.9,3550.255
111,false,BENIGN,0,1,0,0,657,0,100.0,67.788
112,false,BENIGN,0,1,0,0,793,2,99.7,12443.857
