packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,7298,13,99.8,63013.323
1,true,FTP-Patator,1,0,0,0,236,1,99.6,5256.833
2,false,BENIGN,0,1,0,0,17516,37,99.8,174595.298
3,false,BENIGN,0,1,0,0,2258,7,99.7,42568.726
4,false,BENIGN,0,1,0,0,1634,2,99.9,8279.173
5,false,BENIGN,0,1,0,0,1628,3,99.8,21575.045
6,true,FTP-Patator,1,0,0,0,170,1,99.4,4874.020
7,false,BENIGN,0,1,0,0,2030,4,99.8,19907.237
8,true,FTP-Patator,1,0,0,0,182,2,98.9,8419.972
9,false,BENIGN,0,1,0,0,1568,3,99.8,16191.612
10,false,BENIGN,0,1,0,0,2018,5,99.8,28631.386
11,false,BENIGN,0,1,0,0,34604,119,99.7,568395.743
12,true,FTP-Patator,1,0,0,0,212,1,99.5,4996.247
13,false,BENIGN,0,1,0,0,17456,43,99.8,221158.267
14,true,FTP-Patator,1,0,0,0,218,1,99.5,4730.819
15,false,BENIGN,0,1,0,0,2426,5,99.8,28053.607
16,true,FTP-Patator,1,0,0,0,182,1,99.5,4191.884
17,false,BENIGN,0,1,0,0,4064,12,99.7,71312.672
18,false,BENIGN,0,1,0,0,2018,3,99.9,16795.384
19,false,BENIGN,0,1,0,0,4394,5,99.9,26428.650
20,true,FTP-Patator,1,0,0,0,188,1,99.5,5218.548
21,false,BENIGN,0,1,0,0,1472,3,99.8,20499.881
22,true,FTP-Patator,1,0,0,0,182,1,99.5,4277.780
23,false,BENIGN,0,1,0,0,2018,2,99.9,10149.463
24,false,BENIGN,0,1,0,0,2222,2,99.9,9242.966
25,false,BENIGN,0,1,0,0,8006,8,99.9,46551.493
26,false,BENIGN,0,1,0,0,2006,4,99.8,21272.554
27,true,FTP-Patator,1,0,0,0,236,2,99.2,9916.935
28,true,FTP-Patator,1,0,0,0,188,2,98.9,9774.544
29,false,BENIGN,0,1,0,0,4148,4,99.9,25088.206
30,true,FTP-Patator,1,0,0,0,206,2,99.0,10075.453
31,false,BENIGN,0,1,0,0,1742,6,99.7,34477.584
32,true,FTP-Patator,1,0,0,0,224,1,99.6,4890.602
33,true,FTP-Patator,1,0,0,0,230,2,99.1,9968.772
34,true,FTP-Patator,1,0,0,0,230,2,99.1,8911.891
35,false,BENIGN,0,1,0,0,4772,8,99.8,39384.230
36,true,FTP-Patator,1,0,0,0,182,1,99.5,3806.697
37,false,BENIGN,0,1,0,0,8138,15,99.8,71390.741
38,true,FTP-Patator,1,0,0,0,182,2,98.9,8327.589
39,true,FTP-Patator,1,0,0,0,236,1,99.6,5062.947
40,true,FTP-Patator,1,0,0,0,182,2,98.9,8437.156
41,false,BENIGN,0,1,0,0,2750,3,99.9,15066.850
42,false,BENIGN,0,1,0,0,2480,5,99.8,25839.890
43,true,FTP-Patator,1,0,0,0,200,1,99.5,4939.444
44,true,FTP-Patator,1,0,0,0,200,1,99.5,4941.401
45,false,BENIGN,0,1,0,0,4580,9,99.8,52033.055
46,false,BENIGN,0,1,0,0,1712,2,99.9,9453.652
47,false,BENIGN,0,1,0,0,1856,6,99.7,30240.869
48,false,BENIGN,0,1,0,0,2546,4,99.8,19274.070
49,false,BENIGN,0,1,0,0,2570,6,99.8,29292.772
50,false,BENIGN,0,1,0,0,1808,4,99.8,24947.912
51,true,FTP-Patator,1,0,0,0,236,1,99.6,4402.122
52,true,FTP-Patator,1,0,0,0,236,1,99.6,4488.202
53,false,BENIGN,0,1,0,0,1520,4,99.7,21580.236
