packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,5378,14,99.7,75694.135
1,true,Brute-Force,1,0,0,0,3404,5,99.9,20063.374
2,false,BENIGN,0,1,0,0,2030,3,99.9,10385.763
3,true,Brute-Force,1,0,0,0,3404,6,99.8,28494.040
4,false,BENIGN,0,1,0,0,1610,2,99.9,8384.231
5,true,Brute-Force,1,0,0,0,3404,7,99.8,24125.440
6,false,BENIGN,0,1,0,0,2006,6,99.7,24486.558
7,false,BENIGN,0,1,0,0,4550,14,99.7,65486.914
8,true,Brute-Force,1,0,0,0,3404,6,99.8,23085.065
9,false,BENIGN,0,1,0,0,4286,9,99.8,32187.413
10,false,BENIGN,0,1,0,0,1658,4,99.8,20741.563
11,false,Brute-Force,0,0,0,1,2006,0,100.0,75.053
12,false,BENIGN,0,1,0,0,4082,9,99.8,33514.369
13,true,Brute-Force,1,0,0,0,3404,6,99.8,24422.275
14,true,Brute-Force,1,0,0,0,3404,7,99.8,26982.789
15,true,Brute-Force,1,0,0,0,3404,5,99.9,18571.529
16,false,BENIGN,0,1,0,0,1700,3,99.8,9696.241
17,false,BENIGN,0,1,0,0,2120,6,99.7,22675.872
18,true,Brute-Force,1,0,0,0,3404,6,99.8,23301.355
19,true,Brute-Force,1,0,0,0,3404,6,99.8,22443.820
20,true,Brute-Force,1,0,0,0,3404,5,99.9,18807.783
21,true,Brute-Force,1,0,0,0,3404,9,99.7,34676.975
22,true,Brute-Force,1,0,0,0,3404,6,99.8,22526.032
23,false,BENIGN,0,1,0,0,4100,7,99.8,27460.359
24,false,BENIGN,0,1,0,0,1700,7,99.6,29205.122
25,true,Brute-Force,1,0,0,0,3404,9,99.7,32472.342
26,false,BENIGN,0,1,0,0,2582,7,99.7,29060.527
27,true,Brute-Force,1,0,0,0,3404,5,99.9,21502.095
28,false,BENIGN,0,1,0,0,1700,2,99.9,9026.534
29,false,BENIGN,0,1,0,0,2588,5,99.8,17003.471
30,true,Brute-Force,1,0,0,0,3404,6,99.8,24882.443
31,true,Brute-Force,1,0,0,0,3404,7,99.8,29853.832
32,false,BENIGN,0,1,0,0,22790,41,99.8,36348.728
33,false,BENIGN,0,1,0,0,2030,3,99.9,11340.006
34,false,BENIGN,0,1,0,0,1862,4,99.8,17303.394
35,true,Brute-Force,1,0,0,0,3404,5,99.9,20626.311
36,false,BENIGN,0,1,0,0,1880,2,99.9,6912.605
37,true,Brute-Force,1,0,0,0,3404,5,99.9,17833.663
38,false,BENIGN,0,1,0,0,17516,37,99.8,141892.099
39,true,Brute-Force,1,0,0,0,3404,6,99.8,23484.533
40,false,BENIGN,0,1,0,0,2030,4,99.8,19652.427
41,false,BENIGN,0,1,0,0,2018,3,99.9,12997.556
42,true,Brute-Force,1,0,0,0,3404,5,99.9,21558.785
43,false,BENIGN,0,1,0,0,1742,2,99.9,7495.064
44,false,BENIGN,0,1,0,0,2180,6,99.7,23050.213
45,false,Brute-Force,0,0,0,1,2222,1,100.0,3802.824
46,true,Brute-Force,1,0,0,0,3404,5,99.9,19096.457
47,false,BENIGN,0,1,0,0,1358,1,99.9,3299.163
48,true,Brute-Force,1,0,0,0,3404,6,99.8,24173.228
49,false,BENIGN,0,1,0,0,2432,4,99.8,17790.232
50,false,BENIGN,0,1,0,0,2528,5,99.8,19231.579
51,true,Brute-Force,1,0,0,0,3404,5,99.9,21143.475
52,true,Brute-Force,1,0,0,0,3404,5,99.9,23136.070
53,false,Brute-Force,0,0,0,1,1964,1,99.9,5152.097
54,false,BENIGN,0,1,0,0,1964,3,99.8,12676.311
55,false,BENIGN,0,1,0,0,1274,5,99.6,24197.202
56,true,Brute-Force,1,0,0,0,3404,6,99.8,23715.090
57,false,BENIGN,0,1,0,0,4394,5,99.9,22677.181
58,true,Brute-Force,1,0,0,0,3404,6,99.8,26301.190
59,true,Brute-Force,1,0,0,0,3404,7,99.8,33321.244
60,false,BENIGN,0,1,0,0,1598,2,99.9,6667.968
61,true,Brute-Force,1,0,0,0,3404,6,99.8,28373.640
62,true,Brute-Force,1,0,0,0,3404,6,99.8,23802.477
63,true,Brute-Force,1,0,0,0,3404,7,99.8,27698.310
64,true,Brute-Force,1,0,0,0,3404,6,99.8,23694.407
65,false,BENIGN,0,1,0,0,2474,5,99.8,20532.451
66,true,Brute-Force,1,0,0,0,3404,7,99.8,25293.279
67,true,Brute-Force,1,0,0,0,3404,8,99.8,30811.670
68,true,Brute-Force,1,0,0,0,3404,6,99.8,24886.074
69,true,Brute-Force,1,0,0,0,3404,6,99.8,26579.359
70,false,BENIGN,0,1,0,0,2636,5,99.8,19452.615
71,true,Brute-Force,1,0,0,0,3404,5,99.9,19121.896
72,true,Brute-Force,1,0,0,0,3404,5,99.9,19525.067
73,true,Brute-Force,1,0,0,0,3404,5,99.9,18702.000
74,false,BENIGN,0,1,0,0,2120,6,99.7,25488.677
75,true,Brute-Force,1,0,0,0,3404,6,99.8,23041.231
76,false,BENIGN,0,1,0,0,2462,6,99.8,21552.569
77,true,Brute-Force,1,0,0,0,3404,5,99.9,21194.374
78,true,Brute-Force,1,0,0,0,3404,9,99.7,33849.191
79,true,Brute-Force,1,0,0,0,3404,6,99.8,24943.579
80,false,BENIGN,0,1,0,0,6710,12,99.8,47636.977
81,false,BENIGN,0,1,0,0,2546,5,99.8,19733.869
82,false,BENIGN,0,1,0,0,3854,3,99.9,12259.508
