packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,2030,2,99.9,7890.099
1,false,BENIGN,0,1,0,0,2018,2,99.9,8097.505
2,true,XSS,1,0,0,0,3326,8,99.8,37715.492
3,false,BENIGN,0,1,0,0,2258,9,99.6,44922.612
4,false,BENIGN,0,1,0,0,2018,3,99.9,11728.211
5,true,Brute-Force,1,0,0,0,3404,6,99.8,26926.082
6,false,BENIGN,0,1,0,0,1802,2,99.9,8762.548
7,true,Brute-Force,1,0,0,0,3404,6,99.8,28568.788
8,true,XSS,1,0,0,0,3326,9,99.7,42440.155
9,false,BENIGN,0,1,0,0,3884,9,99.8,40295.167
10,false,BENIGN,0,1,0,0,4514,6,99.9,24951.022
11,true,Brute-Force,1,0,0,0,3404,6,99.8,30915.716
12,true,XSS,1,0,0,0,3326,9,99.7,43736.890
13,true,XSS,1,0,0,0,3326,10,99.7,47677.198
14,false,BENIGN,0,1,0,0,2588,5,99.8,22411.766
15,false,BENIGN,0,1,0,0,2030,4,99.8,17782.303
16,false,BENIGN,0,1,0,0,4028,5,99.9,20802.472
17,false,BENIGN,0,1,0,0,1274,5,99.6,26500.798
18,false,BENIGN,0,1,0,0,1964,5,99.7,21981.666
19,true,FTP-Patator,1,0,0,0,230,1,99.6,4600.361
20,true,FTP-Patator,1,0,0,0,236,1,99.6,4839.432
21,false,BENIGN,0,1,0,0,2582,7,99.7,50128.667
22,true,FTP-Patator,1,0,0,0,182,1,99.5,3190.940
23,true,FTP-Patator,1,0,0,0,248,1,99.6,4814.789
24,false,BENIGN,0,1,0,0,2018,3,99.9,15148.476
25,false,BENIGN,0,1,0,0,3278,4,99.9,23834.168
26,true,XSS,1,0,0,0,3326,8,99.8,39178.526
27,true,Brute-Force,1,0,0,0,3404,8,99.8,40101.130
28,false,BENIGN,0,1,0,0,1070,3,99.7,10534.834
29,false,BENIGN,0,1,0,0,2528,5,99.8,20960.048
30,false,BENIGN,0,1,0,0,2636,6,99.8,24349.596
31,false,BENIGN,0,1,0,0,2030,2,99.9,8061.401
32,true,XSS,1,0,0,0,3326,9,99.7,42457.843
33,true,XSS,1,0,0,0,3326,9,99.7,45317.740
34,false,BENIGN,0,1,0,0,1634,2,99.9,9230.404
35,false,BENIGN,0,1,0,0,4550,14,99.7,62969.042
36,false,BENIGN,0,1,0,0,4028,4,99.9,17909.984
37,false,BENIGN,0,1,0,0,1922,4,99.8,17127.423
38,true,Brute-Force,1,0,0,0,3404,5,99.9,22484.037
39,true,FTP-Patator,1,0,0,0,200,1,99.5,4829.425
40,false,BENIGN,0,1,0,0,2030,2,99.9,7546.618
41,false,BENIGN,0,1,0,0,2030,3,99.9,17809.651
42,true,Brute-Force,1,0,0,0,3404,6,99.8,29193.209
43,false,BENIGN,0,1,0,0,1718,5,99.7,20239.521
44,false,BENIGN,0,1,0,0,2084,5,99.8,26269.382
45,true,FTP-Patator,1,0,0,0,182,2,98.9,9584.209
46,false,BENIGN,0,1,0,0,1700,2,99.9,10876.008
47,false,BENIGN,0,1,0,0,1676,4,99.8,24838.744
48,false,BENIGN,0,1,0,0,4082,9,99.8,41273.668
49,true,XSS,1,0,0,0,3326,9,99.7,40437.201
50,false,BENIGN,0,1,0,0,2072,5,99.8,20756.240
51,false,BENIGN,0,1,0,0,3194,6,99.8,25676.035
52,false,BENIGN,0,1,0,0,1700,7,99.6,28541.085
53,true,XSS,1,0,0,0,3326,8,99.8,37030.119
54,true,Brute-Force,1,0,0,0,3404,6,99.8,29853.596
55,true,Brute-Force,1,0,0,0,3404,9,99.7,37588.797
56,false,BENIGN,0,1,0,0,1046,2,99.8,12544.656
57,false,BENIGN,0,1,0,0,22790,41,99.8,28733.876
58,false,BENIGN,0,1,0,0,1196,4,99.7,22743.641
59,false,BENIGN,0,1,0,0,1874,5,99.7,25871.882
60,false,BENIGN,0,1,0,0,1568,3,99.8,16575.442
61,false,BENIGN,0,1,0,0,23174,46,99.8,32854.364
62,false,BENIGN,0,1,0,0,26216,55,99.8,39683.521
63,false,BENIGN,0,1,0,0,1742,2,99.9,8532.837
64,true,XSS,1,0,0,0,3326,10,99.7,47888.626
65,true,Brute-Force,1,0,0,0,3404,6,99.8,27696.473
66,true,FTP-Patator,1,0,0,0,230,1,99.6,4298.779
67,false,BENIGN,0,1,0,0,17162,33,99.8,156708.456
68,false,BENIGN,0,1,0,0,4064,12,99.7,58427.529
69,false,BENIGN,0,1,0,0,2528,6,99.8,23587.088
70,false,BENIGN,0,1,0,0,2018,3,99.9,11569.112
71,false,BENIGN,0,1,0,0,2030,3,99.9,14059.447
72,true,FTP-Patator,1,0,0,0,200,2,99.0,9375.327
73,false,BENIGN,0,1,0,0,4304,8,99.8,34163.992
74,true,XSS,1,0,0,0,3326,8,99.8,35255.621
75,true,Brute-Force,1,0,0,0,3404,6,99.8,29760.372
76,true,FTP-Patator,1,0,0,0,206,1,99.5,4810.987
77,false,BENIGN,0,1,0,0,2636,5,99.8,25014.666
78,false,BENIGN,0,1,0,0,2030,3,99.9,13224.103
79,false,BENIGN,0,1,0,0,4538,4,99.9,21023.809
80,true,Brute-Force,1,0,0,0,3404,5,99.9,24133.538
81,true,XSS,1,0,0,0,3326,9,99.7,48414.456
82,true,Brute-Force,1,0,0,0,3404,5,99.9,23205.282
83,true,Brute-Force,1,0,0,0,3404,6,99.8,29167.165
84,false,BENIGN,0,1,0,0,6308,21,99.7,100338.006
85,true,XSS,1,0,0,0,3326,8,99.8,34691.233
86,false,BENIGN,0,1,0,0,2030,3,99.9,10825.604
87,true,XSS,1,0,0,0,3092,4,99.9,17104.643
88,true,Brute-Force,1,0,0,0,3404,7,99.8,27528.731
89,true,FTP-Patator,1,0,0,0,224,1,99.6,4264.309
90,false,BENIGN,0,1,0,0,1274,5,99.6,26219.542
91,true,FTP-Patator,1,0,0,0,23,1,95.7,3712.044
92,false,BENIGN,0,1,0,0,2018,3,99.9,14029.521
93,true,XSS,1,0,0,0,3326,9,99.7,45505.753
94,true,XSS,1,0,0,0,3326,10,99.7,47748.126
95,true,Brute-Force,1,0,0,0,3404,6,99.8,26252.072
96,false,BENIGN,0,1,0,0,2018,2,99.9,7707.203
97,true,Brute-Force,1,0,0,0,3404,5,99.9,22885.571
98,true,Brute-Force,1,0,0,0,3404,6,99.8,22141.598
99,true,XSS,1,0,0,0,3326,8,99.8,34500.410
100,true,XSS,1,0,0,0,3326,8,99.8,35103.196
