packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,false,BENIGN,0,1,0,0,7298,13,99.8,57440.600
1,true,FTP-Patator,1,0,0,0,236,1,99.6,4082.751
2,false,BENIGN,0,1,0,0,17516,37,99.8,172776.459
3,false,BENIGN,0,1,0,0,2258,7,99.7,37355.392
4,false,BENIGN,0,1,0,0,1634,2,99.9,8234.698
5,false,BENIGN,0,1,0,0,1628,3,99.8,17504.119
6,true,FTP-Patator,1,0,0,0,170,1,99.4,4721.828
7,false,BENIGN,0,1,0,0,2030,4,99.8,17859.554
8,true,FTP-Patator,1,0,0,0,182,2,98.9,12265.230
9,false,BENIGN,0,1,0,0,1568,3,99.8,15654.573
10,false,BENIGN,0,1,0,0,2018,5,99.8,25035.860
11,false,BENIGN,0,1,0,0,34604,119,99.7,63946.511
12,true,FTP-Patator,1,0,0,0,212,1,99.5,4396.140
13,false,BENIGN,0,1,0,0,17456,43,99.8,438418.219
14,true,FTP-Patator,1,0,0,0,218,1,99.5,2727.194
15,false,BENIGN,0,1,0,0,2426,5,99.8,9573.302
16,true,FTP-Patator,1,0,0,0,182,1,99.5,2238.788
17,false,BENIGN,0,1,0,0,4064,12,99.7,57353.193
18,false,BENIGN,0,1,0,0,2018,3,99.9,14766.890
19,false,BENIGN,0,1,0,0,4394,5,99.9,21241.213
20,true,FTP-Patator,1,0,0,0,188,1,99.5,4760.447
21,false,BENIGN,0,1,0,0,1472,3,99.8,13858.822
22,true,FTP-Patator,1,0,0,0,182,1,99.5,3687.293
23,false,BENIGN,0,1,0,0,2018,2,99.9,7030.974
24,false,BENIGN,0,1,0,0,2222,2,99.9,7434.688
25,false,BENIGN,0,1,0,0,8006,8,99.9,41629.837
26,false,BENIGN,0,1,0,0,2006,4,99.8,18177.764
27,true,FTP-Patator,1,0,0,0,236,2,99.2,13271.096
28,true,FTP-Patator,1,0,0,0,188,2,98.9,8506.668
29,false,BENIGN,0,1,0,0,4148,4,99.9,18567.536
30,true,FTP-Patator,1,0,0,0,206,2,99.0,7919.373
31,false,BENIGN,0,1,0,0,1742,6,99.7,29484.479
32,true,FTP-Patator,1,0,0,0,224,1,99.6,9361.026
33,true,FTP-Patator,1,0,0,0,230,2,99.1,8997.676
34,true,FTP-Patator,1,0,0,0,230,2,99.1,8427.713
35,false,BENIGN,0,1,0,0,4772,8,99.8,37590.913
36,true,FTP-Patator,1,0,0,0,182,1,99.5,3932.074
37,false,BENIGN,0,1,0,0,8138,15,99.8,69968.136
38,true,FTP-Patator,1,0,0,0,182,2,98.9,7147.957
39,true,FTP-Patator,1,0,0,0,236,1,99.6,4746.164
40,true,FTP-Patator,1,0,0,0,182,2,98.9,7854.963
41,false,BENIGN,0,1,0,0,2750,3,99.9,11807.791
42,false,BENIGN,0,1,0,0,2480,5,99.8,21941.497
43,true,FTP-Patator,1,0,0,0,200,1,99.5,4700.005
44,true,FTP-Patator,1,0,0,0,200,1,99.5,4503.975
45,false,BENIGN,0,1,0,0,4580,9,99.8,41255.152
46,false,BENIGN,0,1,0,0,1712,2,99.9,15255.437
47,false,BENIGN,0,1,0,0,1856,6,99.7,31852.265
48,false,BENIGN,0,1,0,0,2546,4,99.8,17823.782
49,false,BENIGN,0,1,0,0,2570,6,99.8,23231.232
50,false,BENIGN,0,1,0,0,1808,4,99.8,21989.225
51,true,FTP-Patator,1,0,0,0,236,1,99.6,4168.195
52,true,FTP-Patator,1,0,0,0,236,1,99.6,3909.838
53,false,BENIGN,0,1,0,0,1520,4,99.7,20163.048
54,false,BENIGN,0,1,0,0,2588,5,99.8,20704.719
55,false,BENIGN,0,1,0,0,6476,17,99.7,80718.928
56,true,FTP-Patator,1,0,0,0,182,1,99.5,3786.075
57,true,FTP-Patator,1,0,0,0,200,1,99.5,4580.117
