packet_id,alert,label,tp,tn,fp,fn,windows,candidates,pruning_pct,duration_ms
0,true,XSS,1,0,0,0,3326,8,99.8,36966.264
1,false,BENIGN,0,1,0,0,3134,2,99.9,11957.362
2,false,BENIGN,0,1,0,0,2576,5,99.8,21676.846
3,true,XSS,1,0,0,0,3326,9,99.7,41303.959
4,true,XSS,1,0,0,0,3326,8,99.8,36571.221
5,true,XSS,1,0,0,0,3326,9,99.7,42256.736
6,false,BENIGN,0,1,0,0,3056,4,99.9,19791.837
7,false,BENIGN,0,1,0,0,1958,5,99.7,20715.702
8,false,BENIGN,0,1,0,0,2432,4,99.8,19851.241
9,true,XSS,1,0,0,0,3326,9,99.7,42021.828
10,false,BENIGN,0,1,0,0,4034,4,99.9,17117.824
11,false,XSS,0,0,0,1,1976,2,99.9,7892.271
12,false,BENIGN,0,1,0,0,3854,3,99.9,13326.309
13,true,XSS,1,0,0,0,3326,8,99.8,36311.037
14,false,BENIGN,0,1,0,0,3554,7,99.8,30842.040
15,false,BENIGN,0,1,0,0,1520,1,99.9,4774.838
16,true,XSS,1,0,0,0,3326,8,99.8,36659.172
17,false,BENIGN,0,1,0,0,3398,6,99.8,28532.415
18,true,XSS,1,0,0,0,3326,9,99.7,42118.798
19,true,XSS,1,0,0,0,3326,9,99.7,42671.757
20,false,BENIGN,0,1,0,0,5954,14,99.8,69065.254
21,true,XSS,1,0,0,0,3326,8,99.8,40453.893
22,true,XSS,1,0,0,0,3326,9,99.7,42847.208
23,false,BENIGN,0,1,0,0,1610,2,99.9,8215.542
24,true,XSS,1,0,0,0,3326,8,99.8,36057.371
25,true,XSS,1,0,0,0,3326,8,99.8,35919.137
26,false,BENIGN,0,1,0,0,2030,2,99.9,7490.461
27,true,XSS,1,0,0,0,3326,8,99.8,34368.009
28,false,BENIGN,0,1,0,0,4034,5,99.9,21193.686
29,false,BENIGN,0,1,0,0,3884,9,99.8,37265.741
30,true,XSS,1,0,0,0,3326,8,99.8,36923.491
31,true,XSS,1,0,0,0,3326,9,99.7,42466.619
32,true,XSS,1,0,0,0,3326,8,99.8,36322.851
33,false,BENIGN,0,1,0,0,1172,2,99.8,10240.514
34,true,XSS,1,0,0,0,3326,9,99.7,38993.307
35,false,BENIGN,0,1,0,0,2528,5,99.8,21585.344
36,true,XSS,1,0,0,0,3326,8,99.8,39851.769
37,false,BENIGN,0,1,0,0,2030,4,99.8,18438.409
38,false,XSS,0,0,0,1,2000,0,100.0,83.561
39,false,BENIGN,0,1,0,0,2030,3,99.9,14169.010
40,false,BENIGN,0,1,0,0,2030,2,99.9,7612.876
41,false,BENIGN,0,1,0,0,1964,5,99.7,21919.963
42,true,XSS,1,0,0,0,3326,8,99.8,38344.438
43,true,XSS,1,0,0,0,3326,9,99.7,46319.381
44,true,XSS,1,0,0,0,3326,8,99.8,56614.247
45,false,BENIGN,0,1,0,0,5852,7,99.9,33179.763
46,true,XSS,1,0,0,0,3326,9,99.7,40826.088
47,false,BENIGN,0,1,0,0,3278,4,99.9,22887.117
48,true,XSS,1,0,0,0,3326,8,99.8,37109.909
49,false,BENIGN,0,1,0,0,2546,5,99.8,20661.503
50,false,BENIGN,0,1,0,0,2516,6,99.8,24666.699
51,true,XSS,1,0,0,0,3326,9,99.7,40962.191
52,true,XSS,1,0,0,0,3326,8,99.8,38948.472
53,false,BENIGN,0,1,0,0,1706,2,99.9,10872.678
54,true,XSS,1,0,0,0,3326,9,99.7,40753.640
55,true,XSS,1,0,0,0,3326,8,99.8,37714.189
56,true,XSS,1,0,0,0,3326,8,99.8,41520.001
57,false,BENIGN,0,1,0,0,2036,7,99.7,38443.413
58,true,XSS,1,0,0,0,3326,11,99.7,52466.554
59,true,XSS,1,0,0,0,3326,9,99.7,42333.803
60,true,XSS,1,0,0,0,3326,8,99.8,37387.921
61,false,BENIGN,0,1,0,0,2018,2,99.9,7774.348
62,false,BENIGN,0,1,0,0,2564,4,99.8,16984.060
63,false,BENIGN,0,1,0,0,2306,6,99.7,34721.969
64,true,XSS,1,0,0,0,3326,8,99.8,39877.265
65,true,XSS,1,0,0,0,3326,8,99.8,136231.274
66,false,BENIGN,0,1,0,0,2660,4,99.8,18472.330
67,false,BENIGN,0,1,0,0,5330,15,99.7,69991.932
68,false,XSS,0,0,0,1,2294,2,99.9,8615.733
69,true,XSS,1,0,0,0,3326,8,99.8,37782.406
70,true,XSS,1,0,0,0,3326,8,99.8,35634.994
71,false,BENIGN,0,1,0,0,17516,37,99.8,162880.888
72,true,XSS,1,0,0,0,3326,8,99.8,37004.293
73,true,XSS,1,0,0,0,3326,8,99.8,36112.221
74,true,XSS,1,0,0,0,3326,8,99.8,35742.897
75,true,XSS,1,0,0,0,3326,8,99.8,37289.494
